test 63: no_error_count: 120800, error_count: 8, ARE: 0.9155859911017138, counter_report: 46807
test 64: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46122
test 65: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47167
test 66: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46859
test 67: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46710
test 68: no_error_count: 120792, error_count: 16, ARE: 1.393672927912776, counter_report: 46521
test 69: no_error_count: 120800, error_count: 8, ARE: 1.0031511706957896, counter_report: 46589
test 70: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46493
test 71: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46793
test 72: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47505
test 73: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46114
test 74: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46936
test 75: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45369
test 76: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46484
test 77: no_error_count: 120800, error_count: 8, ARE: 0.9932070251336464, counter_report: 47198
test 78: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46207
test 79: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47588
test 80: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47228
test 81: no_error_count: 120760, error_count: 48, ARE: 1.316531584157769, counter_report: 45164
test 82: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46034
test 83: no_error_count: 120601, error_count: 207, ARE: 1.6367248988969312, counter_report: 43573
test 84: no_error_count: 120792, error_count: 16, ARE: 1.194439295328876, counter_report: 45555
test 85: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46635
test 86: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47166
test 87: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46909
test 88: no_error_count: 120792, error_count: 16, ARE: 1.033647586169062, counter_report: 46368
test 89: no_error_count: 120715, error_count: 93, ARE: 0.9666187087503084, counter_report: 45759
test 90: no_error_count: 120800, error_count: 8, ARE: 0.8879765668179272, counter_report: 46076
test 91: no_error_count: 120784, error_count: 24, ARE: 1.235995235983233, counter_report: 45029
test 92: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 46995
test 93: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47231
