test 30: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45878
test 31: no_error_count: 12170, error_count: 24, ARE: 1.3834839794440204, counter_report: 45360
test 32: no_error_count: 12154, error_count: 40, ARE: 1.3987544556859413, counter_report: 45996
test 33: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45602
test 34: no_error_count: 12190, error_count: 4, ARE: 0.8398172546723272, counter_report: 44111
test 35: no_error_count: 12162, error_count: 32, ARE: 1.2124743238930662, counter_report: 42319
test 36: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45288
test 37: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46112
test 38: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45472
test 39: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45764
test 40: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45964
test 41: no_error_count: 12154, error_count: 40, ARE: 1.1503984691657985, counter_report: 44342
test 42: no_error_count: 12178, error_count: 16, ARE: 1.1882411130972637, counter_report: 45117
test 43: no_error_count: 12186, error_count: 8, ARE: 1.3845811245876525, counter_report: 43714
test 44: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44463
test 45: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45191
test 46: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46225
test 47: no_error_count: 12186, error_count: 8, ARE: 1.6150825757751357, counter_report: 44091
test 48: no_error_count: 12186, error_count: 8, ARE: 1.3634996582468588, counter_report: 45478
test 49: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46274
test 50: no_error_count: 12187, error_count: 7, ARE: 0.6222645625009421, counter_report: 45957
test 51: no_error_count: 12178, error_count: 16, ARE: 1.5507402594606055, counter_report: 44518
test 52: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44757
test 53: no_error_count: 12126, error_count: 68, ARE: 1.2762627083861047, counter_report: 45779
test 54: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46047
test 55: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45876
test 56: no_error_count: 12074, error_count: 120, ARE: 1.5244303708999776, counter_report: 42874
test 57: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45723
test 58: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46086
test 59: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45906
test 60: no_error_count: 12186, error_count: 8, ARE: 1.0055207370949009, counter_report: 45466
test 61: no_error_count: 12006, error_count: 188, ARE: 1.5641939837477157, counter_report: 44213
test 62: no_error_count: 10981, error_count: 1213, ARE: 1.3496616631293727, counter_report: 44699
test 63: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45316
test 64: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44934
test 65: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45995
test 66: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45031
test 67: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46348
